DATE,TIME,"TEMP C","GUST mph",DIR,"AVG mph","HUM %","BARO mb","TREND mb","RAIN DAY mm","RAIN MTH mm","SOLAR W/m2",UV,WEATHER
2018-11-01,00:00:00,8,4,SSE,1.2,91,1003.6,-0.1,0,0,0,0,night_time/dry
2018-11-01,00:30:00,7.7,1,SSE,0,91,1003.5,0,0,0,0,0,night_time/dry
2018-11-01,01:00:00,7.6,1,SSE,0.5,92,1003.2,-0.3,0,0,0,0,night_time/dry
2018-11-01,01:30:00,7.6,2,SE,1.3,92,1003.1,-0.5,0,0,0,0,night_time/dry
2018-11-01,02:00:00,7.7,2,SE,1.3,93,1003,-0.2,0,0,0,0,night_time/dry
2018-11-01,03:00:00,8.2,2,S,0.8,94,1002.8,-0.2,1,1,0,0,night_time/raining_lightly
2018-11-01,03:30:00,8.2,1,S,0.9,94,1002.6,-0.7,1,1,0,0,night_time/dry
2018-11-01,04:00:00,7.8,0,S,0.2,94,1002.3,-0.4,1,1,0,0,night_time/dry
2018-11-01,04:30:00,7.7,0,S,0,94,1002.4,-0.2,1,1,0,0,night_time/dry
2018-11-01,05:00:00,7.6,0,S,0,94,1002.5,0,1,1,0,0,night_time/dry
2018-11-01,05:30:00,7.7,2,SW,1,94,1002.8,0.4,1,1,0,0,night_time/dry
2018-11-01,06:00:00,7.7,0,SW,0,95,1003,0.5,1,1,0,0,night_time/dry
2018-11-01,06:30:00,7.8,0,SW,0,95,1003.2,0.4,1,1,0,0,night_time/dry
2018-11-01,07:00:00,7.9,4,WNW,2.8,95,1003.6,0.6,1,1,0,0,night_time/dry
2018-11-01,07:30:00,8,4,NW,1.2,95,1004.1,0.9,1.2,1.2,0,0,overcast/rain_has_stopped
2018-11-01,08:00:00,8.3,4,NNW,1.7,95,1004.6,1.1,1.6,1.6,12,0,overcast/raining_lightly
2018-11-01,08:30:00,8.2,2,NW,0,95,1005,1,2.8,2.8,37,0,mainly_cloudy/raining_lightly
2018-11-01,09:00:00,8.1,4,NW,1.2,95,1005.5,0.8,3,3,67,0,mainly_cloudy/rain_has_stopped
2018-11-01,09:30:00,9.1,2,NW,0.9,96,1005.5,0.5,3,3,183,0.7,sunny/dry
2018-11-01,10:00:00,9.6,4,WNW,3.2,95,1005.6,0.2,3,3,139,0.8,cloudy/dry
2018-11-01,10:30:00,9.7,5,NW,3.7,94,1005.9,0.4,3,3,141,0.8,sunny/dry
2018-11-01,11:00:00,10,8,WNW,2.5,90,1006.1,0.4,3,3,190,0.9,cloudy/dry
2018-11-01,11:30:00,10.4,4,NW,1.6,86,1006.3,0.4,3,3,350,1.1,partly_cloudy/dry
2018-11-01,12:00:00,10.4,4,NNW,2.3,80,1006.5,0.4,3,3,178,1,cloudy/dry
2018-11-01,12:30:00,11.1,2,W,0.7,78,1006.8,0.5,3,3,497,1.2,partly_cloudy/dry
2018-11-01,13:00:00,11.2,4,WNW,3,70,1007,0.5,3,3,44,0,overcast/dry
2018-11-01,13:30:00,10.7,4,NW,2.2,74,1007.2,0.4,3,3,357,0.8,sunny/dry
2018-11-01,14:00:00,11.1,4,W,1.8,72,1007.5,0.4,3,3,413,0.8,sunny/dry
2018-11-01,14:30:00,10.7,5,NW,2.4,66,1007.8,0.6,3,3,88,0,mainly_cloudy/dry
2018-11-01,15:00:00,10.7,5,WNW,2.6,70,1008.1,0.7,3,3,279,0,sunny/dry
2018-11-01,15:30:00,10.3,5,WNW,2.5,64,1008.5,0.8,3,3,53,0,cloudy/dry
2018-11-01,16:00:00,9.7,5,NW,2.3,67,1008.8,0.7,3,3,18,0,mainly_cloudy/dry
2018-11-01,16:30:00,9.2,4,WNW,0.9,69,1009.2,0.6,3,3,9,0,dusk/dry
2018-11-01,17:00:00,8.4,4,WNW,1.3,70,1009.8,0.9,3,3,0,0,dusk/dry
2018-11-01,17:30:00,7.6,4,NW,2.2,70,1010.4,1.2,3,3,0,0,night_time/dry
2018-11-01,18:00:00,7.3,4,NW,0.8,72,1011,1.3,3,3,0,0,night_time/dry
2018-11-01,18:30:00,6.8,1,NW,0.1,73,1011.6,1.3,3,3,0,0,night_time/dry
2018-11-01,19:00:00,6.3,4,NW,1.5,75,1012,1,3,3,0,0,night_time/dry
2018-11-01,19:30:00,5.7,1,NW,0,77,1012.6,0.9,3,3,0,0,night_time/dry
2018-11-01,20:00:00,5.2,0,NW,0,79,1012.9,0.9,3,3,0,0,night_time/dry
2018-11-01,20:30:00,4.6,0,NW,0,81,1013.4,0.8,3,3,0,0,night_time/dry
2018-11-01,21:00:00,4.1,0,NW,0,83,1014,1.1,3,3,0,0,night_time/dry
2018-11-01,21:30:00,3.8,2,NW,1.2,85,1014.4,0.9,3,3,0,0,night_time/dry
2018-11-01,22:00:00,3.8,0,NW,0,87,1014.9,0.9,3,3,0,0,night_time/dry
2018-11-01,22:30:00,3.6,0,NW,0,88,1015.3,1,3,3,0,0,night_time/dry
2018-11-01,23:00:00,3.5,1,NW,1,89,1015.7,0.8,3,3,0,0,night_time/dry
2018-11-01,23:30:00,3.5,4,NW,1.3,90,1016.1,0.8,3,3,0,0,night_time/dry
2018-11-02,00:00:00,3.4,0,NW,0,91,1016.6,0.9,0,3,0,0,night_time/dry
2018-11-02,00:30:00,3,0,NW,0,90,1017,1,0,3,0,0,night_time/dry
2018-11-02,01:00:00,2.9,0,NW,0,91,1017.5,0.9,0,3,0,0,night_time/dry
2018-11-02,01:30:00,2.8,0,NW,0,91,1018,0.9,0,3,0,0,night_time/dry
2018-11-02,02:00:00,2.9,1,WNW,0.9,92,1018.2,0.7,0,3,0,0,night_time/dry
2018-11-02,03:00:00,2.9,0,WNW,0,93,1019,0.7,0,3,0,0,night_time/dry
2018-11-02,03:30:00,2.3,0,WNW,0,92,1019.5,0.8,0,3,0,0,night_time/dry
2018-11-02,04:00:00,2.4,0,WNW,0,93,1020.1,1.1,0,3,0,0,night_time/dry
2018-11-02,04:30:00,2.6,1,WNW,0.1,93,1020.6,1.1,0,3,0,0,night_time/dry
2018-11-02,05:00:00,2.6,2,WNW,1.6,94,1021.2,1.1,0,3,0,0,night_time/dry
2018-11-02,05:30:00,2.8,0,WNW,0,94,1021.5,1,0,3,0,0,night_time/dry
2018-11-02,06:00:00,2.4,0,WNW,0,94,1021.8,0.6,0,3,0,0,night_time/dry
